CCA(copy=True, max_iter=500, n_components=10, scale=True, tol=1e-06)
Test : 0.8803962281041707 0.0011393975587677652 0.380159789545454 0.007619925078105446
Train: 0.9051579032706594 0.00017142818079591304 0.4054254318520386 0.0010283394120021547
CCA(copy=True, max_iter=500, n_components=20, scale=True, tol=1e-06)
Test : 0.8699933712480801 0.0011805192510831006 0.3692774190095521 0.005082641205966015
Train: 0.9083326403765689 0.00017961511684252057 0.4092219155444995 0.0009289524829428714
CCA(copy=True, max_iter=500, n_components=30, scale=True, tol=1e-06)
Test : 0.8637956462483558 0.0015293794978611082 0.36016878715690875 0.004175884495273211
Train: 0.9116392091624338 0.0001838440109307831 0.41343741757425034 0.0008088895812354685
CCA(copy=True, max_iter=500, n_components=40, scale=True, tol=1e-06)
Test : 0.8551027986485907 0.0018851573661637585 0.34896830778465887 0.005603373526469748
Train: 0.9151552322681431 0.00027113343943645376 0.41829168319702 0.0006530395288684952
CCA(copy=True, max_iter=500, n_components=50, scale=True, tol=1e-06)
Test : 0.8486989875181667 0.0018148529891126688 0.3370000936348604 0.007752749876038404
Train: 0.9185502237191624 0.00037570026382842886 0.4237438584074121 0.0005747762808377497
CCA(copy=True, max_iter=500, n_components=60, scale=True, tol=1e-06)
Test : 0.8394578155359487 0.0018661615987017547 0.3275693068121789 0.005959446155766774
Train: 0.9217839956603674 0.00037003469642184276 0.42953717708863 0.0005417817079765242
CCA(copy=True, max_iter=500, n_components=70, scale=True, tol=1e-06)
Test : 0.8319637950551761 0.0029310689656390655 0.31877400711779735 0.005414722506717538
Train: 0.9252122920079351 0.00034896242471246515 0.43643178337947786 0.0003807198340254767
CCA(copy=True, max_iter=500, n_components=80, scale=True, tol=1e-06)
Test : 0.8236408217722418 0.0026536635499573615 0.31037543183047467 0.006817724520738428
Train: 0.9284774144065804 0.0003614959077727154 0.44364195393025285 0.0002229407068846223
CCA(copy=True, max_iter=500, n_components=90, scale=True, tol=1e-06)
Test : 0.8160652712555769 0.0027670786814419836 0.3000383284577119 0.007204054459020006
Train: 0.9316177494310975 0.0004972093118052078 0.4513931440058543 0.0005646734180406706
CCA(copy=True, max_iter=500, n_components=100, scale=True, tol=1e-06)
Test : 0.8102690209731442 0.0038749577234975453 0.29596051892835734 0.0073981776848582575
Train: 0.9346035057437045 0.00047094270416449046 0.4589665477187122 0.000611173459728517
CCA(copy=True, max_iter=500, n_components=10, scale=True, tol=1e-06)
Test : 0.8784829895281405 0.0 0.38095885084663356 0.0
Train: 0.9049544520918175 0.0 0.4046463144767308 0.0
CCA(copy=True, max_iter=500, n_components=20, scale=True, tol=1e-06)
Test : 0.873135283803327 0.0 0.3691204906552773 0.0
Train: 0.9082057851919013 0.0 0.4084007109551369 0.0
CCA(copy=True, max_iter=500, n_components=30, scale=True, tol=1e-06)
Test : 0.8684231647422771 0.0 0.35905894694183343 0.0
Train: 0.9117002556654873 0.0 0.4126943736860641 0.0
CCA(copy=True, max_iter=500, n_components=40, scale=True, tol=1e-06)
Test : 0.8553226610897295 0.0 0.3392204728415412 0.0
Train: 0.9154342975423746 0.0 0.4177763236832114 0.0
CCA(copy=True, max_iter=500, n_components=50, scale=True, tol=1e-06)
Test : 0.8501936236683528 0.0 0.315174855445421 0.0
Train: 0.9192998147841995 0.0 0.42490361907060537 0.0
CCA(copy=True, max_iter=500, n_components=60, scale=True, tol=1e-06)
Test : 0.8421561318462493 0.0 0.31551540450146315 0.0
Train: 0.9225468898317346 0.0 0.43106817103551026 0.0
CCA(copy=True, max_iter=500, n_components=70, scale=True, tol=1e-06)
Test : 0.8359393988832056 0.0 0.3105815791881443 0.0
Train: 0.9256828713934929 0.0 0.4367979168929035 0.0
CCA(copy=True, max_iter=500, n_components=80, scale=True, tol=1e-06)
Test : 0.8298260765648773 0.0 0.30534166398521523 0.0
Train: 0.928918833737045 0.0 0.4434673120607287 0.0
CCA(copy=True, max_iter=500, n_components=90, scale=True, tol=1e-06)
Test : 0.8228306321906002 0.0 0.2980272181306076 0.0
Train: 0.9320299095508283 0.0 0.45033193003239685 0.0
CCA(copy=True, max_iter=500, n_components=100, scale=True, tol=1e-06)
Test : 0.8163567800544833 0.0 0.29106361829158417 0.0
Train: 0.9349612425182015 0.0 0.45793542117709113 0.0
CCA(copy=True, max_iter=500, n_components=10, scale=True, tol=1e-06)
Test : 0.8784829895281405 0.0 0.38095885084663356 0.0
Train: 0.9049544520918175 0.0 0.4046463144767308 0.0
CCA(copy=True, max_iter=500, n_components=10, scale=True, tol=1e-06)
Test : 0.8803962281041707 0.0011393975587677652 0.380159789545454 0.007619925078105446
Train: 0.9051579032706594 0.00017142818079591304 0.4054254318520386 0.0010283394120021547
CCA(copy=True, max_iter=500, n_components=20, scale=True, tol=1e-06)
Test : 0.8699933712480801 0.0011805192510831006 0.3692774190095521 0.005082641205966015
Train: 0.9083326403765689 0.00017961511684252057 0.4092219155444995 0.0009289524829428714
CCA(copy=True, max_iter=500, n_components=30, scale=True, tol=1e-06)
Test : 0.8637956462483558 0.0015293794978611082 0.36016878715690875 0.004175884495273211
Train: 0.9116392091624338 0.0001838440109307831 0.41343741757425034 0.0008088895812354685
CCA(copy=True, max_iter=500, n_components=40, scale=True, tol=1e-06)
Test : 0.8551027986485907 0.0018851573661637585 0.34896830778465887 0.005603373526469748
Train: 0.9151552322681431 0.00027113343943645376 0.41829168319702 0.0006530395288684952
CCA(copy=True, max_iter=500, n_components=50, scale=True, tol=1e-06)
Test : 0.8486989875181667 0.0018148529891126688 0.3370000936348604 0.007752749876038404
